"sample_id","reads_before","reads_after","q20_rate","q30_rate","status","reads_removed"
"ERR13827976",115856,104494,0.970398,0.950968,"ok",11362
"ERR13827977",140172,126076,0.970026,0.949931,"ok",14096
"ERR13827978",113106,102144,0.963059,0.939377,"ok",10962
"ERR13827979",112070,101402,0.971825,0.952386,"ok",10668
"ERR13827983",80000,71436,0.967203,0.945029,"ok",8564
"ERR13827990",117302,105020,0.962175,0.9398,"ok",12282
"ERR13827993",74820,67630,0.966932,0.946479,"ok",7190
"ERR13827998",144144,129728,0.963821,0.941752,"ok",14416
"ERR13828004",42868,38006,0.963756,0.942946,"ok",4862
"ERR13828005",41094,35842,0.962127,0.940395,"ok",5252
"ERR13828010",35384,32198,0.967495,0.948572,"ok",3186
"ERR13828016",182976,164198,0.955077,0.928013,"ok",18778
"ERR13828019",111042,101874,0.969809,0.952529,"ok",9168
"ERR13828022",48100,43146,0.96447,0.942499,"ok",4954
"ERR13828023",349594,294316,0.954415,0.927688,"ok",55278
"ERR13828025",296434,265160,0.965842,0.943248,"ok",31274
"ERR13828026",53414,48334,0.960356,0.934738,"ok",5080
"ERR13828027",14764,13236,0.966257,0.945499,"low_quality",1528
"ERR13828028",16700,15058,0.959357,0.934539,"low_quality",1642
"ERR13828032",214204,195918,0.953688,0.922485,"ok",18286
"ERR13828035",175764,156752,0.952385,0.920717,"ok",19012
"ERR13828036",200486,181480,0.959934,0.932387,"ok",19006
"ERR13828043",174588,157898,0.948842,0.915005,"ok",16690
"ERR13828045",101204,88606,0.944117,0.90561,"ok",12598
"ERR13828047",180976,159922,0.952394,0.919062,"ok",21054
"ERR13828050",188494,168592,0.950595,0.915906,"ok",19902
"ERR13828052",153112,136482,0.946762,0.912988,"ok",16630
"ERR13828056",189528,171718,0.946844,0.91291,"ok",17810
"ERR13828059",158620,137540,0.933474,0.89104,"ok",21080
"ERR13828060",170736,151902,0.949201,0.917419,"ok",18834
"ERR13828061",220694,198836,0.95125,0.91992,"ok",21858
"ERR13827980",84374,75974,0.97028,0.949241,"ok",8400
"ERR13827986",114574,99568,0.967579,0.943774,"ok",15006
"ERR13827987",146714,132082,0.966272,0.944373,"ok",14632
"ERR13827994",36424,32396,0.963817,0.942469,"ok",4028
"ERR13827995",17228,15546,0.963475,0.94078,"low_quality",1682
"ERR13827981",94440,84774,0.968933,0.947364,"ok",9666
"ERR13827996",225038,202088,0.965868,0.945164,"ok",22950
"ERR13827982",104570,91914,0.967666,0.946324,"ok",12656
"ERR13827984",148082,130836,0.957493,0.928038,"ok",17246
"ERR13827997",37576,33712,0.962149,0.939223,"ok",3864
"ERR13827985",94688,83236,0.969391,0.947394,"ok",11452
"ERR13827988",138884,125526,0.964684,0.940288,"ok",13358
"ERR13828003",312144,279094,0.964145,0.942933,"ok",33050
"ERR13827989",103936,93214,0.956434,0.927177,"ok",10722
"ERR13828006",118068,107652,0.962204,0.94012,"ok",10416
"ERR13827991",174254,159090,0.96098,0.936333,"ok",15164
"ERR13828007",178282,157192,0.961003,0.936156,"ok",21090
"ERR13827992",1023766,923578,0.963384,0.941138,"ok",100188
"ERR13828009",3530,3036,0.966595,0.945321,"low_quality",494
"ERR13827999",28656,24824,0.965844,0.9449,"low_quality",3832
"ERR13828011",40836,36672,0.963867,0.940415,"ok",4164
"ERR13828000",125230,112554,0.966348,0.946323,"ok",12676
"ERR13828013",123794,113776,0.966076,0.945904,"ok",10018
"ERR13828001",194530,176716,0.962633,0.939903,"ok",17814
"ERR13828030",176638,159252,0.954552,0.92394,"ok",17386
"ERR13828002",166086,151054,0.965014,0.944581,"ok",15032
"ERR13828034",200258,184534,0.953909,0.922949,"ok",15724
"ERR13828046",167410,146864,0.946137,0.909697,"ok",20546
"ERR13828008",354290,316298,0.96224,0.939362,"ok",37992
"ERR13828048",184772,165086,0.952087,0.919342,"ok",19686
"ERR13828053",193190,167630,0.935756,0.895243,"ok",25560
"ERR13828012",291046,257944,0.959893,0.936072,"ok",33102
"ERR13828058",201708,180814,0.945613,0.910913,"ok",20894
"ERR13828014",11114,9828,0.966502,0.945922,"low_quality",1286
"ERR13828015",338014,289646,0.95441,0.926453,"ok",48368
"ERR13828017",260052,240438,0.965552,0.945045,"ok",19614
"ERR13828018",134878,81720,0.902885,0.849532,"low_quality",53158
"ERR13828020",43476,36972,0.967925,0.948284,"ok",6504
"ERR13828021",196920,172762,0.96571,0.944617,"ok",24158
"ERR13828024",16756,15390,0.965684,0.945983,"low_quality",1366
"ERR13828029",284866,246018,0.946694,0.915496,"ok",38848
"ERR13828031",194372,175956,0.955975,0.926355,"ok",18416
"ERR13828033",187618,171472,0.955116,0.924647,"ok",16146
"ERR13828037",186046,168664,0.960046,0.93227,"ok",17382
"ERR13828038",193906,175868,0.960287,0.93303,"ok",18038
"ERR13828039",219586,195866,0.959735,0.932364,"ok",23720
"ERR13828040",191562,171218,0.959313,0.931713,"ok",20344
"ERR13828041",167146,151710,0.955916,0.925041,"ok",15436
"ERR13828042",181086,163316,0.951394,0.91836,"ok",17770
"ERR13828044",183282,160538,0.945965,0.908955,"ok",22744
"ERR13828049",174496,151322,0.948638,0.912309,"ok",23174
"ERR13828051",159186,141774,0.949588,0.914724,"ok",17412
"ERR13828054",223218,201348,0.94692,0.912501,"ok",21870
"ERR13828055",198492,178986,0.94819,0.914776,"ok",19506
"ERR13828057",195452,174384,0.949041,0.916357,"ok",21068
"ERR13828062",240866,215820,0.945245,0.909442,"ok",25046
"ERR13828063",182146,163004,0.947613,0.913837,"ok",19142
