sample	raw	filtered	denoisedF	denoisedR	merged	nonchim	retained_pct
ERR13827976	115856	104494	47487	47505	111	36255	31.29
ERR13827977	140172	126076	58552	58681	21	49176	35.08
ERR13827978	113106	102144	47748	47714	6	42411	37.5
ERR13827979	112070	101402	46928	46985	2	39207	34.98
ERR13827983	80000	71436	33095	33087	10	28568	35.71
ERR13827990	117302	105020	48214	48180	102	38582	32.89
ERR13827993	74820	67630	22326	22770	2	17596	23.52
ERR13827998	144144	129728	59739	59716	10	46685	32.39
ERR13828004	42868	38006	10624	10638	2	9007	21.01
ERR13828005	41094	35842	15354	15711	3	11248	27.37
ERR13828010	35384	32198	14454	14398	2	11227	31.73
ERR13828016	182976	164198	75759	75958	55	59481	32.51
ERR13828019	111042	101874	46751	47059	32	34671	31.22
ERR13828022	48100	43146	17843	18220	6	13222	27.49
ERR13828023	349594	294316	136128	136803	460	100538	28.76
ERR13828025	296434	265160	119439	119871	139	87764	29.61
ERR13828026	53414	48334	18189	18639	2	15505	29.03
ERR13828027	14764	13236	5405	5625	3	4953	33.55
ERR13828028	16700	15058	6207	6262	0	4862	29.11
ERR13828032	214204	195918	91158	90845	2	77305	36.09
ERR13828035	175764	156752	72183	71702	3	61309	34.88
ERR13828036	200486	181480	84294	84297	154	71563	35.69
ERR13828043	174588	157898	73202	73266	2	62035	35.53
ERR13828045	101204	88606	39959	39937	445	34410	34
ERR13828047	180976	159922	72126	72084	34	61219	33.83
ERR13828050	188494	168592	76852	76562	342	63155	33.51
ERR13828052	153112	136482	63587	63354	3	52381	34.21
ERR13828056	189528	171718	80606	80376	2	65217	34.41
ERR13828059	158620	137540	64712	64529	2	48433	30.53
ERR13828060	170736	151902	71695	71403	0	60408	35.38
ERR13828061	220694	198836	93686	93476	9	77727	35.22
ERR13827980	84374	75974	35085	35091	10	31834	37.73
ERR13827986	114574	99568	45602	45638	79	39532	34.5
ERR13827987	146714	132082	61369	61674	2	49808	33.95
ERR13827994	36424	32396	9741	9906	0	8662	23.78
ERR13827995	17228	15546	6880	7017	0	6092	35.36
ERR13827981	94440	84774	38887	38922	2	34776	36.82
ERR13827996	225038	202088	93577	93678	2	67677	30.07
ERR13827982	104570	91914	41812	41906	35	33994	32.51
ERR13827984	148082	130836	59130	59442	38	49535	33.45
ERR13827997	37576	33712	14366	14567	0	12462	33.16
ERR13827985	94688	83236	38325	38327	11	30562	32.28
ERR13827988	138884	125526	57879	58025	64	48956	35.25
ERR13828003	312144	279094	129343	129633	19	87180	27.93
ERR13827989	103936	93214	42634	42885	32	36416	35.04
ERR13828006	118068	107652	49574	49945	0	36217	30.67
ERR13827991	174254	159090	73265	73511	590	51719	29.68
ERR13828007	178282	157192	71030	71150	183	58228	32.66
ERR13827992	1023766	923578	428723	429819	76	289502	28.28
ERR13828009	3530	3036	1298	1277	0	1298	36.77
ERR13827999	28656	24824	9609	9637	0	8520	29.73
ERR13828011	40836	36672	16770	16777	0	12324	30.18
ERR13828000	125230	112554	51258	51455	86	40088	32.01
ERR13828013	123794	113776	52648	52633	3	39999	32.31
ERR13828001	194530	176716	80977	81252	78	56827	29.21
ERR13828030	176638	159252	74031	73591	5	62020	35.11
ERR13828002	166086	151054	70379	70646	0	54493	32.81
ERR13828034	200258	184534	85830	85659	2	72463	36.18
ERR13828046	167410	146864	66761	66991	26	55011	32.86
ERR13828008	354290	316298	145249	146092	0	105036	29.65
ERR13828048	184772	165086	76001	75837	25	64929	35.14
ERR13828053	193190	167630	78461	78076	9	65555	33.93
ERR13828012	291046	257944	118285	118909	116	93113	31.99
ERR13828058	201708	180814	84779	84578	8	70413	34.91
ERR13828014	11114	9828	4073	4110	0	3686	33.17
ERR13828015	338014	289646	134064	134124	62	103236	30.54
ERR13828017	260052	240438	111903	112259	2	77100	29.65
ERR13828018	134878	81720	37515	37490	70	31657	23.47
ERR13828020	43476	36972	15191	15232	10	11856	27.27
ERR13828021	196920	172762	79217	79563	0	61796	31.38
ERR13828024	16756	15390	6925	7009	0	4606	27.49
ERR13828029	284866	246018	114001	114483	7	90521	31.78
ERR13828031	194372	175956	81813	81882	0	68824	35.41
ERR13828033	187618	171472	79741	79445	0	68059	36.28
ERR13828037	186046	168664	78482	78298	37	65787	35.36
ERR13828038	193906	175868	82315	82196	79	69039	35.6
ERR13828039	219586	195866	90390	90547	120	75978	34.6
ERR13828040	191562	171218	79629	79687	128	66421	34.67
ERR13828041	167146	151710	70151	69833	151	60635	36.28
ERR13828042	181086	163316	76086	76176	5	63625	35.14
ERR13828044	183282	160538	73612	73306	37	65350	35.66
ERR13828049	174496	151322	66204	66591	129	55011	31.53
ERR13828051	159186	141774	64213	64292	811	52269	32.84
ERR13828054	223218	201348	94156	94097	2	76353	34.21
ERR13828055	198492	178986	83571	83318	10	68244	34.38
ERR13828057	195452	174384	80789	80788	2	65631	33.58
ERR13828062	240866	215820	101474	101425	4	84201	34.96
ERR13828063	182146	163004	76337	76110	0	64010	35.14
